alert,baroaltitude,callsign,geoaltitude,heading,icao24,lastcontact,lastposupdate,lat,lon,onground,spi,squawk,time,velocity,vertrate,aircraft_model,wingspan_m,length_m,has_dimensions,is_grounded,is_stationary,is_likely_taxiing
True,4480.56,XAL275,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815340,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,632.46,VOR277,624.84,270.6365935759635,ad237f,1563815339.953,1563815339.703,33.44068908691406,-112.04060668945311,False,False,0736,1563815340,92.60563586803421,14.305280000000002,B738,35.78352,39.4716,True,False,False,False
True,1005.84,KLY279,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815350,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,4480.56,ZET281,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815350,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,754.38,QPX282,762.0,270.9495668564358,ad237f,1563815350.0,1563815349.991,33.440826416015625,-112.05126342773437,False,False,0736,1563815350,93.12715316590925,5.52704,B738,35.78352,39.4716,True,False,False,False
True,1005.84,PNK284,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815360,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,4480.56,JUV287,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815360,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,LVR289,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815370,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,4480.56,KLY292,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815370,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,JUV293,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815380,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,4480.56,QPX295,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815380,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,MKN297,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815390,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,518.1600000000001,RYS298,487.68,268.39997528485225,a7869b,1563815389.91,1563815388.768,33.440753484176376,-112.03039052535075,False,False,1644,1563815390,92.12139385547191,15.60576,A321,35.814,44.500800000000005,True,False,False,False
True,4480.56,MKN301,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815390,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,LVR302,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815400,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,655.32,ZET304,655.32,256.20051460398065,a7869b,1563815399.796,1563815399.362,33.43963623046875,-112.04060668945311,False,False,1644,1563815400,90.58451725522237,13.329920000000001,A321,35.814,44.500800000000005,True,False,False,False
True,4480.56,VOR306,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815400,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
