icao,runway,operation,timestamp,distance_to_tower_nm,altitude_agl_ft,ground_speed_knots,vertical_rate_fpm,heading_deg,wind_along_runway,wind_cross_runway,time_of_day,runway_alignment_error,aircraft_category,weather_tmpf,weather_relh,weather_drct,weather_sknt,runway_label,dt,active_runways,ac_cat_heavy_jet,ac_cat_light_prop,ac_cat_medium_jet,ac_cat_regional_jet,ac_cat_turboprop,ac_cat_unknown,op_landing,op_takeoff,heading_deg_missing,wind_along_runway_missing,wind_cross_runway_missing,runway_alignment_error_missing,vertical_rate_fpm_missing,weather_tmpf_missing,weather_relh_missing,weather_drct_missing,weather_sknt_missing,date
a1d44e,8,landing,1764633614.27,0.2781584027764722,0.0,0.0,0.0,90.0,2.364032260820166,-1.846984425976975,0.0038888888888888888,12.0,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:14.269999981,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a52e50,8,landing,1764633614.83,0.2159889382458523,0.0,0.0,0.0,90.0,2.364032260820166,-1.846984425976975,0.0038888888888888888,12.0,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:14.829999924,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
ad61de,8,landing,1764633616.99,0.46077766562976036,0.0,0.0,0.0,25.3,2.364032260820166,-1.846984425976975,0.0044444444444444444,52.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:16.990000010,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a114f4,07R,landing,1764633617.11,0.2658493907989667,0.0,0.0,0.0,171.6,2.364032260820166,-1.846984425976975,0.004722222222222222,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:17.109999895,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aa1f97,26,landing,1764633617.13,0.3524129013737853,0.0,0.0,0.0,126.6,-2.3640322608201663,1.8469844259769745,0.004722222222222222,131.4,unknown,69.0,32.1,40.0,3.0,4,2025-12-02 00:00:17.130000114,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a0480b,07R,landing,1764633617.32,0.392785657868174,0.0,0.0,0.0,239.1,2.364032260820166,-1.846984425976975,0.004722222222222222,161.1,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:17.319999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aa88d2,8,landing,1764633617.6,3.476929604621319,1419.533921131097,225.4,5.232536195997652,86.7,2.364032260820166,-1.846984425976975,0.004722222222222222,8.700000000000003,unknown,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:17.599999905,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a33716,8,landing,1764633617.7,0.29847864119875533,0.0,0.0,0.0,0.0,2.364032260820166,-1.846984425976975,0.004722222222222222,78.0,unknown,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:17.700000048,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a9dce9,8,landing,1764633618.04,0.23732897537832184,0.0,0.0,0.0,154.7,2.364032260820166,-1.846984425976975,0.005,76.69999999999999,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:18.039999962,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a466fc,25L,landing,1764633618.75,0.9576323216997041,0.0,0.0,0.0,171.6,-2.3640322608201663,1.8469844259769745,0.005,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,2,2025-12-02 00:00:18.750000000,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aa02ab,25L,landing,1764633619.07,0.23781626147275103,0.0,0.0,0.0,171.6,-2.3640322608201663,1.8469844259769745,0.005277777777777778,79.69999999999999,unknown,69.0,32.1,40.0,3.0,2,2025-12-02 00:00:19.069999933,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aaa5ff,8,landing,1764633619.07,0.3606091022512645,0.0,0.0,0.0,289.7,2.364032260820166,-1.846984425976975,0.005277777777777778,211.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:19.069999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a58fdf,8,landing,1764633619.82,0.3587607063095494,0.0,0.0,0.0,270.0,2.364032260820166,-1.846984425976975,0.005277777777777778,192.0,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:19.819999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aaa5ff,8,landing,1764633619.85,0.3624410953956301,0.0,0.0,0.0,289.7,2.364032260820166,-1.846984425976975,0.005277777777777778,211.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:19.849999905,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
